experiment,run_number,status,outcome,turn_count,retry_count,max_turns,latency_ms,tags,summary,last_error,model,temperature,seed,timestamp_utc
ceiling_10,1,completed,valid_first_attempt,1,0,10,3715.72,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:41Z
ceiling_10,2,completed,valid_first_attempt,1,0,10,3240.36,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:44Z
ceiling_10,3,completed,valid_first_attempt,1,0,10,3097.74,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:47Z
ceiling_10,4,completed,valid_first_attempt,1,0,10,3068.97,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:50Z
ceiling_10,5,completed,valid_first_attempt,1,0,10,3134.18,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:53Z
ceiling_10,6,completed,valid_first_attempt,1,0,10,3274.72,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:56:57Z
ceiling_10,7,completed,valid_first_attempt,1,0,10,3069.39,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:00Z
ceiling_10,8,completed,valid_first_attempt,1,0,10,3018.86,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:03Z
ceiling_10,9,completed,valid_first_attempt,1,0,10,3028.4,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:06Z
ceiling_10,10,completed,valid_first_attempt,1,0,10,3063.43,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:09Z
ceiling_10,11,completed,valid_first_attempt,1,0,10,3035.07,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:12Z
ceiling_10,12,completed,valid_first_attempt,1,0,10,3184.76,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:15Z
ceiling_10,13,completed,valid_first_attempt,1,0,10,3198.13,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:18Z
ceiling_10,14,completed,valid_first_attempt,1,0,10,3068.44,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:21Z
ceiling_10,15,completed,valid_first_attempt,1,0,10,3128.95,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:24Z
ceiling_10,16,completed,valid_first_attempt,1,0,10,3072.73,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:28Z
ceiling_10,17,completed,valid_first_attempt,1,0,10,3029.62,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:31Z
ceiling_10,18,completed,valid_first_attempt,1,0,10,3014.95,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:34Z
ceiling_10,19,completed,valid_first_attempt,1,0,10,3026.77,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:37Z
ceiling_10,20,completed,valid_first_attempt,1,0,10,3023.34,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:57:40Z
